Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
223323,OIE,9.916667,8.9,Africa,Nigeria,Plateau,Jos north,Exact,23/01/2017,06/02/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",4000,27,27,3973,0,,0,,
223322,OIE,9.916667,8.9,Africa,Nigeria,Plateau,Jos north,Exact,23/01/2017,06/02/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",230,2,2,228,0,,0,,
223320,National authorities,43.48997,82.81848,Asia,China,Xinjiang Uygur Zizhiqu,Xinjiang Uygur Zizhiqu,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",,1,,,,,,,
223319,National authorities,30.13417,91.35568,Asia,China,Xizang Zizhiqu,Xizang Zizhiqu,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken, domestic, duck",,2,,,,,,,
223318,National authorities,30.13417,91.35568,Asia,China,Xizang Zizhiqu,Xizang Zizhiqu,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken, domestic, duck",,2,,,,,,,
223317,National authorities,30.13417,91.35568,Asia,China,Xizang Zizhiqu,Xizang Zizhiqu,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",,1,,,,,,,
223316,National authorities,30.13417,91.35568,Asia,China,Xizang Zizhiqu,Xizang Zizhiqu,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
223315,National authorities,30.13417,91.35568,Asia,China,Xizang Zizhiqu,Xizang Zizhiqu,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken, domestic, duck",,2,,,,,,,
223314,National authorities,23.60237,104.87042,Asia,China,Yunnan Sheng,Yunnan Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
223313,National authorities,23.60237,104.87042,Asia,China,Yunnan Sheng,Yunnan Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken, domestic, duck",,2,,,,,,,
223312,National authorities,23.60456,102.95693,Asia,China,Yunnan Sheng,Yunnan Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",,1,,,,,,,
223311,National authorities,23.60456,102.95693,Asia,China,Yunnan Sheng,Yunnan Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,1,,,,,,,
223310,National authorities,23.60456,102.95693,Asia,China,Yunnan Sheng,Yunnan Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",,1,,,,,,,
223309,National authorities,24.15151,102.2319,Asia,China,Yunnan Sheng,Yunnan Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,1,,,,,,,
223308,National authorities,26.80004,106.58285,Asia,China,Guizhou Sheng,Guizhou Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",,1,,,,,,,
223307,National authorities,26.80004,106.58285,Asia,China,Guizhou Sheng,Guizhou Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",,1,,,,,,,
223306,National authorities,26.80004,106.58285,Asia,China,Guizhou Sheng,Guizhou Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, duck",,1,,,,,,,
223305,National authorities,26.80004,106.58285,Asia,China,Guizhou Sheng,Guizhou Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken, domestic, duck, domestic, goose",,3,,,,,,,
223304,National authorities,26.80004,106.58285,Asia,China,Guizhou Sheng,Guizhou Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken, domestic, duck",,2,,,,,,,
223303,National authorities,26.80004,106.58285,Asia,China,Guizhou Sheng,Guizhou Sheng,Centroid Admin2,15/07/2016,31/10/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken, domestic, duck, domestic, goose",,3,,,,,,,
